"From (Date)","To (Date)","Town","Super (PMS)","Diesel (AGO)","Kerosene (IK)"
"15/03/2025","14/04/2025","Sindo","177.56","168.39","152.77"
"15/03/2025","14/04/2025","Awasi","176.58","167.41","151.79"
"15/03/2025","14/04/2025","Ahero","176.62","167.44","151.82"
"15/03/2025","14/04/2025","Ugunja","177.07","167.91","152.28"
"15/03/2025","14/04/2025","Asembo","176.7","167.54","151.9"
"15/03/2025","14/04/2025","Usenge","177.21","168.05","152.42"
"15/03/2025","14/04/2025","Harambee","176.66","167.49","151.87"
"15/03/2025","14/04/2025","Muhuru Bay","178.57","169.39","153.77"
"15/03/2025","14/04/2025","Kehancha","178.81","169.65","154.01"
"15/03/2025","14/04/2025","Ntimaru","179.15","169.97","154.35"
"15/03/2025","14/04/2025","Rongo","177.83","168.66","153.03"
"15/03/2025","14/04/2025","Kaspokwony","177.78","168.62","152.99"
"15/03/2025","14/04/2025","Chwele","177.73","168.56","152.93"
"15/03/2025","14/04/2025","Kimilili","177.64","168.48","152.85"
"15/03/2025","14/04/2025","Nambale","177.55","168.38","152.75"
"15/03/2025","14/04/2025","SioPort","177.54","168.36","152.74"
"15/03/2025","14/04/2025","Port Bunyala","177.6","168.42","152.8"
"15/03/2025","14/04/2025","Funyula","177.4","168.22","152.6"
"15/03/2025","14/04/2025","Ogembo","177.73","168.56","152.93"
"15/03/2025","14/04/2025","Nyangusu","178.01","168.84","153.21"
"15/03/2025","14/04/2025","Sengera","177.92","168.75","153.13"
"15/03/2025","14/04/2025","Keumbu","177.63","168.46","152.84"
"15/03/2025","14/04/2025","Marani","177.32","168.14","152.52"
"15/03/2025","14/04/2025","Kerina","177.7","168.53","152.91"
"15/03/2025","14/04/2025","Ikonge","177.01","167.84","152.21"
"15/03/2025","14/04/2025","Nyansiongo","177.44","168.27","152.64"
"15/03/2025","14/04/2025","Mombasa","173.34","163.82","148.15"
"15/03/2025","14/04/2025","Kilifi","174.1","164.59","148.92"
"15/03/2025","14/04/2025","Likoni Mainland","173.72","164.21","148.54"
"15/03/2025","14/04/2025","Kwale","173.72","164.21","148.54"
"15/03/2025","14/04/2025","Malindi","174.32","164.81","149.14"
"15/03/2025","14/04/2025","Lungalunga","174.49","164.97","149.3"
"15/03/2025","14/04/2025","Voi","174.93","165.41","149.73"
"15/03/2025","14/04/2025","Taveta","176.44","166.92","151.25"
"15/03/2025","14/04/2025","Lamu","176.88","167.37","151.69"
"15/03/2025","14/04/2025","Hola","177.19","167.68","152"
"15/03/2025","14/04/2025","Mpeketoni","176.88","167.37","151.69"
"15/03/2025","14/04/2025","Minjila","175.77","166.26","150.58"
"15/03/2025","14/04/2025","Garsen","175.87","166.35","150.68"
"15/03/2025","14/04/2025","Samburu","173.66","164.15","148.47"
"15/03/2025","14/04/2025","Taru","173.85","164.35","148.67"
"15/03/2025","14/04/2025","Mwatate","175.29","165.77","150.09"
"15/03/2025","14/04/2025","Wundanji","175.46","165.96","150.28"
"15/03/2025","14/04/2025","Kaloleni","173.5","164","148.32"
"15/03/2025","14/04/2025","Marereni","175.03","165.52","149.85"
"15/03/2025","14/04/2025","Nairobi","176.58","167.06","151.39"
"15/03/2025","14/04/2025","Thika","176.58","167.07","151.39"
"15/03/2025","14/04/2025","Machakos","176.83","167.32","151.64"
"15/03/2025","14/04/2025","Kajiado","177.03","167.51","151.83"
"15/03/2025","14/04/2025","Makuyu","176.89","167.37","151.69"
"15/03/2025","14/04/2025","Muranga","177.13","167.62","151.95"
"15/03/2025","14/04/2025","Sagana","177.36","167.86","152.18"
"15/03/2025","14/04/2025","Embu","177.76","168.24","152.57"
"15/03/2025","14/04/2025","Kerugoya","177.68","168.16","152.49"
"15/03/2025","14/04/2025","Narok","178.06","168.56","152.88"
"15/03/2025","14/04/2025","Nyeri","178.05","168.53","152.86"
"15/03/2025","14/04/2025","Namanga","178.23","168.72","153.04"
"15/03/2025","14/04/2025","Kiganjo","178.01","168.5","152.82"
"15/02/2025","14/03/2025","North Horr","186.04","176.53","160.85"
"15/02/2025","14/03/2025","Maikona","184.56","175.04","159.36"
"15/02/2025","14/03/2025","Kalacha","185.14","175.62","159.95"
"15/02/2025","14/03/2025","Loyangalani","185.21","175.69","160.02"
"15/02/2025","14/03/2025","Turbi","185","175.48","159.81"
"15/02/2025","14/03/2025","Laisamis","181.99","172.49","156.81"
"15/02/2025","14/03/2025","Merille","181.68","172.16","156.48"
"15/02/2025","14/03/2025","Korr","183.01","173.5","157.82"
"15/02/2025","14/03/2025","Nakuru","175.8","166.63","151.01"
"15/02/2025","14/03/2025","Gilgil","175.76","166.59","150.96"
"15/02/2025","14/03/2025","Mogotio","175.75","166.57","150.95"
"15/02/2025","14/03/2025","Molo","175.84","166.67","151.04"
"15/02/2025","14/03/2025","Olenguruone","176.6","167.42","151.8"
"15/02/2025","14/03/2025","Londiani","176.08","166.91","151.29"
"15/02/2025","14/03/2025","Nyahururu","176.07","166.9","151.26"
"15/02/2025","14/03/2025","Archers Post","179.28","170.1","154.48"
"15/02/2025","14/03/2025","Lodosoit","180.46","171.28","155.66"
"15/02/2025","14/03/2025","Naivasha","176.15","166.98","151.36"
"15/02/2025","14/03/2025","Marigat","176.59","167.41","151.79"
"15/02/2025","14/03/2025","Kabarnet","177.11","167.94","152.31"
"15/02/2025","14/03/2025","Maralal","178.28","169.1","153.48"
"15/02/2025","14/03/2025","Wamba","179.17","170.01","154.38"
"15/02/2025","14/03/2025","Rumuruti","176.66","167.48","151.86"
"15/02/2025","14/03/2025","Eldoret","176.62","167.45","151.82"
"15/02/2025","14/03/2025","Kiplombe","176.62","167.45","151.82"
"15/02/2025","14/03/2025","Iten","176.62","167.45","151.82"
"15/02/2025","14/03/2025","Naiberi","176.62","167.45","151.82"
"15/02/2025","14/03/2025","Kesses","176.62","167.45","151.82"
"15/02/2025","14/03/2025","Kapsabet","176.63","167.47","151.84"
"15/02/2025","14/03/2025","Webuye","177.09","167.91","152.28"
"15/02/2025","14/03/2025","Kitale","177.02","167.84","152.22"
"15/02/2025","14/03/2025","Kapenguria","177.69","168.52","152.9"
"15/02/2025","14/03/2025","Bungoma","177.45","168.27","152.64"
"15/02/2025","14/03/2025","Moiben","176.63","167.47","151.84"
"15/02/2025","14/03/2025","Matunda","176.61","167.44","151.81"
"15/02/2025","14/03/2025","Burnt Forest","176.56","167.4","151.77"
"15/02/2025","14/03/2025","Tambach","176.67","167.49","151.87"
"15/02/2025","14/03/2025","Kapsowar","177.17","167.99","152.37"
"15/02/2025","14/03/2025","Chebara","177.04","167.87","152.24"
"15/02/2025","14/03/2025","Kimwarer","176.96","167.79","152.16"
"15/02/2025","14/03/2025","Timboroa","176.88","167.7","152.08"
"15/02/2025","14/03/2025","Nandi Hills","176.83","167.66","152.03"
"15/02/2025","14/03/2025","Kaiboi","176.68","167.51","151.88"
"15/02/2025","14/03/2025","Kiminini","177.21","168.04","152.41"
"15/02/2025","14/03/2025","Endebes","177.58","168.41","152.78"
"15/02/2025","14/03/2025","Saboti","177.24","168.06","152.44"
"15/02/2025","14/03/2025","Chepareria","177.92","168.74","153.12"
"15/02/2025","14/03/2025","Lomut","179.65","170.48","154.86"
"15/02/2025","14/03/2025","Burgich","178.36","169.18","153.56"
"15/02/2025","14/03/2025","Sigor","178.5","169.32","153.7"
"15/02/2025","14/03/2025","Lodwar","181.11","171.94","156.31"
"15/02/2025","14/03/2025","Kakuma","182.82","173.65","158.03"
"15/02/2025","14/03/2025","Lokichar","180.04","170.87","155.24"
"15/02/2025","14/03/2025","Kalokol","181.93","172.76","157.13"
"15/02/2025","14/03/2025","Lokori","180.43","171.26","155.64"
"15/02/2025","14/03/2025","Lokitaung","185.03","175.85","160.23"
"15/02/2025","14/03/2025","Kapedo","179.65","170.48","154.86"
"15/02/2025","14/03/2025","Malaba","177.87","168.71","153.07"
"15/02/2025","14/03/2025","Lokichogio","184.1","174.93","159.3"
"15/02/2025","14/03/2025","Ziwa","176.83","167.66","152.03"
"15/02/2025","14/03/2025","Soy","176.62","167.45","151.82"
"15/02/2025","14/03/2025","Moi's Bridge","176.69","167.52","151.89"
"15/02/2025","14/03/2025","Turbo","176.56","167.4","151.77"
"15/02/2025","14/03/2025","Kibish","185.28","176.11","160.49"
"15/02/2025","14/03/2025","Nakalale","184.01","174.84","159.22"
"15/02/2025","14/03/2025","Loima","180.17","170.99","155.37"
"15/02/2025","14/03/2025","Lokiriama","181.85","172.68","157.05"
"15/02/2025","14/03/2025","Kainuk","178.85","169.67","154.05"
"15/02/2025","14/03/2025","Kacheliba","178.13","168.95","153.33"
"15/02/2025","14/03/2025","Kiwawa","178.78","169.6","153.98"
"15/02/2025","14/03/2025","Ortum","178.34","169.16","153.54"
"15/02/2025","14/03/2025","Kachibora","177.04","167.87","152.24"
"15/02/2025","14/03/2025","Kwanza","177.8","168.64","153"
"15/02/2025","14/03/2025","Kaplamai","177.07","167.9","152.27"
"15/02/2025","14/03/2025","Eldama Ravine","177.51","168.34","152.71"
"15/02/2025","14/03/2025","Tenges","177.67","168.5","152.87"
"15/02/2025","14/03/2025","Barwessa","177.79","168.62","152.99"
"15/02/2025","14/03/2025","Kipsaraman","178.77","169.59","153.97"
"15/02/2025","14/03/2025","Loruk","178.63","169.45","153.83"
"15/02/2025","14/03/2025","Kabartonjo","177.51","168.34","152.71"
"15/02/2025","14/03/2025","Tindiret","177.58","168.41","152.78"
"15/02/2025","14/03/2025","O'lessos","176.69","167.52","151.89"
"15/02/2025","14/03/2025","Kobujoi","177.12","167.95","152.33"
"15/02/2025","14/03/2025","Serem","177.21","168.04","152.41"
"15/02/2025","14/03/2025","Kabiyet","176.62","167.45","151.82"
"15/02/2025","14/03/2025","Cheptulu","177.09","167.91","152.28"
"15/02/2025","14/03/2025","Songor","177.67","168.5","152.87"
"15/02/2025","14/03/2025","Kapcherop","177.28","168.1","152.48"
"15/02/2025","14/03/2025","Sambalat","178.01","168.85","153.21"
"15/02/2025","14/03/2025","Arror","177.64","168.46","152.84"
"15/02/2025","14/03/2025","Tot","177.86","168.69","153.06"
"15/02/2025","14/03/2025","Kaptarakwa","176.83","167.66","152.03"
"15/02/2025","14/03/2025","Kapese","180","170.83","155.2"
"15/02/2025","14/03/2025","Kalemngorok","179.35","170.17","154.55"
"15/02/2025","14/03/2025","Marich","178.25","169.08","153.46"
"15/02/2025","14/03/2025","Alale","178.78","169.6","153.98"
"15/02/2025","14/03/2025","Kunyao","178.42","169.24","153.62"
"15/02/2025","14/03/2025","Asilong","177.97","168.8","153.18"
"15/02/2025","14/03/2025","Orolwo","178.01","168.85","153.21"
"15/02/2025","14/03/2025","Sebit","177.96","168.79","153.16"
"15/02/2025","14/03/2025","Morpus","177.86","168.69","153.06"
"15/02/2025","14/03/2025","Chepkorniswo","177.74","168.57","152.93"
"15/02/2025","14/03/2025","Kaibichbich","177.68","168.51","152.89"
"15/02/2025","14/03/2025","Keringet","177.39","168.22","152.59"
"15/02/2025","14/03/2025","Kisumu","176.62","167.44","151.82"
"15/02/2025","14/03/2025","Sondu","176.73","167.56","151.93"
"15/02/2025","14/03/2025","Oyugis","177.25","168.07","152.45"
"15/02/2025","14/03/2025","Kakamega","176.67","167.5","151.88"
"15/02/2025","14/03/2025","Mumias","176.97","167.79","152.17"
"15/02/2025","14/03/2025","Bondo","176.84","167.68","152.04"
"15/02/2025","14/03/2025","Siaya","176.98","167.8","152.18"
"15/02/2025","14/03/2025","Kericho","177.17","167.99","152.37"
"15/02/2025","14/03/2025","Nyamira","177.24","168.06","152.44"
"15/02/2025","14/03/2025","Kisii","177.56","168.39","152.77"
"15/02/2025","14/03/2025","Sotik","177.38","168.21","152.59"
"15/02/2025","14/03/2025","Keroka","177.57","168.41","152.78"
"15/02/2025","14/03/2025","Busia","177.55","168.38","152.75"
"15/02/2025","14/03/2025","Homabay","177.49","168.32","152.7"
"15/02/2025","14/03/2025","Migori","178.41","169.24","153.62"
"15/02/2025","14/03/2025","Isebania","178.72","169.54","153.92"
"15/02/2025","14/03/2025","Bomet","177.82","168.64","153.02"
"15/02/2025","14/03/2025","Muhoroni","176.87","167.69","152.06"
"15/02/2025","14/03/2025","Mbita","177.48","168.31","152.68"
"15/02/2025","14/03/2025","Mbale","176.62","167.44","151.82"
"15/02/2025","14/03/2025","Etago","178.18","169","153.38"
"15/02/2025","14/03/2025","Magenche","178.29","169.11","153.49"
"15/02/2025","14/03/2025","Kilgoris","178.11","168.94","153.31"
"15/02/2025","14/03/2025","Malava","177.01","167.84","152.21"
"15/02/2025","14/03/2025","Lugari","177.42","168.26","152.63"
"15/02/2025","14/03/2025","Rodi Kopany","177.56","168.39","152.77"
"15/02/2025","14/03/2025","Ndhiwa","177.85","168.68","153.06"
"15/02/2025","14/03/2025","Rangwe","177.55","168.38","152.75"
"15/02/2025","14/03/2025","Sindo","177.56","168.39","152.77"
"15/02/2025","14/03/2025","Awasi","176.58","167.41","151.79"
"15/02/2025","14/03/2025","Ahero","176.62","167.44","151.82"
"15/02/2025","14/03/2025","Ugunja","177.07","167.91","152.28"
"15/02/2025","14/03/2025","Asembo","176.7","167.54","151.9"
"15/02/2025","14/03/2025","Usenge","177.21","168.05","152.42"
"15/02/2025","14/03/2025","Harambee","176.66","167.49","151.87"
"15/02/2025","14/03/2025","Muhuru Bay","178.57","169.39","153.77"
"15/02/2025","14/03/2025","Kehancha","178.81","169.65","154.01"
"15/02/2025","14/03/2025","Ntimaru","179.15","169.97","154.35"
"15/02/2025","14/03/2025","Rongo","177.83","168.66","153.03"
"15/02/2025","14/03/2025","Kaspokwony","177.78","168.62","152.99"
"15/02/2025","14/03/2025","Chwele","177.73","168.56","152.93"
"15/02/2025","14/03/2025","Kimilili","177.64","168.48","152.85"
"15/02/2025","14/03/2025","Nambale","177.55","168.38","152.75"
"15/02/2025","14/03/2025","SioPort","177.54","168.36","152.74"
"15/02/2025","14/03/2025","Port Bunyala","177.6","168.42","152.8"
"15/02/2025","14/03/2025","Funyula","177.4","168.22","152.6"
"15/02/2025","14/03/2025","Ogembo","177.73","168.56","152.93"
"15/02/2025","14/03/2025","Nyangusu","178.01","168.84","153.21"
"15/02/2025","14/03/2025","Sengera","177.92","168.75","153.13"
"15/02/2025","14/03/2025","Keumbu","177.63","168.46","152.84"
"15/02/2025","14/03/2025","Marani","177.32","168.14","152.52"
"15/02/2025","14/03/2025","Kerina","177.7","168.53","152.91"
"15/02/2025","14/03/2025","Ikonge","177.01","167.84","152.21"
"15/02/2025","14/03/2025","Nyansiongo","177.44","168.27","152.64"
"15/02/2025","14/03/2025","Mombasa","173.34","163.82","148.15"
"15/02/2025","14/03/2025","Kilifi","174.1","164.59","148.92"
"15/02/2025","14/03/2025","Likoni Mainland","173.72","164.21","148.54"
"15/02/2025","14/03/2025","Kwale","173.72","164.21","148.54"
"15/02/2025","14/03/2025","Malindi","174.32","164.81","149.14"
"15/02/2025","14/03/2025","Lungalunga","174.49","164.97","149.3"
"15/02/2025","14/03/2025","Voi","174.93","165.41","149.73"
"15/02/2025","14/03/2025","Taveta","176.44","166.92","151.25"
"15/02/2025","14/03/2025","Lamu","176.88","167.37","151.69"
"15/02/2025","14/03/2025","Hola","177.19","167.68","152"
"15/02/2025","14/03/2025","Mpeketoni","176.88","167.37","151.69"
"15/02/2025","14/03/2025","Minjila","175.77","166.26","150.58"
"15/02/2025","14/03/2025","Garsen","175.87","166.35","150.68"
"15/02/2025","14/03/2025","Samburu","173.66","164.15","148.47"
"15/02/2025","14/03/2025","Taru","173.85","164.35","148.67"
"15/02/2025","14/03/2025","Mwatate","175.29","165.77","150.09"
"15/02/2025","14/03/2025","Wundanji","175.46","165.96","150.28"
"15/02/2025","14/03/2025","Kaloleni","173.5","164","148.32"
"15/02/2025","14/03/2025","Marereni","175.03","165.52","149.85"
"15/02/2025","14/03/2025","Nairobi","176.58","167.06","151.39"
"15/02/2025","14/03/2025","Thika","176.58","167.07","151.39"
"15/02/2025","14/03/2025","Machakos","176.83","167.32","151.64"
"15/02/2025","14/03/2025","Kajiado","177.03","167.51","151.83"
"15/02/2025","14/03/2025","Makuyu","176.89","167.37","151.69"
"15/02/2025","14/03/2025","Muranga","177.13","167.62","151.95"
"15/02/2025","14/03/2025","Sagana","177.36","167.86","152.18"
"15/02/2025","14/03/2025","Embu","177.76","168.24","152.57"
"15/02/2025","14/03/2025","Kerugoya","177.68","168.16","152.49"
"15/02/2025","14/03/2025","Narok","178.06","168.56","152.88"
"15/02/2025","14/03/2025","Nyeri","178.05","168.53","152.86"
"15/02/2025","14/03/2025","Namanga","178.23","168.72","153.04"
"15/02/2025","14/03/2025","Kiganjo","178.01","168.5","152.82"
"15/02/2025","14/03/2025","Chuka","178.33","168.81","153.14"
"15/02/2025","14/03/2025","Kitui","178.22","168.71","153.03"
"15/02/2025","14/03/2025","Mwingi","178.63","169.13","153.45"
"15/02/2025","14/03/2025","Nanyuki","178.65","169.14","153.46"
"15/02/2025","14/03/2025","Nkubu","179.68","170.18","154.5"
"15/02/2025","14/03/2025","Mtito Andei","179.19","169.68","154"
"15/02/2025","14/03/2025","Meru","179.89","170.39","154.71"
"15/02/2025","14/03/2025","Isiolo","179.74","170.24","154.56"
"15/02/2025","14/03/2025","Maua","180.38","170.88","155.2"
"15/02/2025","14/03/2025","Garissa","181.05","171.54","155.87"
"15/02/2025","14/03/2025","Marsabit","185.01","175.49","159.82"
"15/02/2025","14/03/2025","Liboi","184.02","174.51","158.84"
"15/02/2025","14/03/2025","Moyale","186.7","177.2","161.52"
"15/02/2025","14/03/2025","Sololo","185.69","176.18","160.5"
"15/02/2025","14/03/2025","Habaswein","183.94","174.43","158.76"
"15/02/2025","14/03/2025","Dadaab","182.54","173.02","157.35"
"15/02/2025","14/03/2025","Tarbaj","186.35","176.85","161.17"
"15/02/2025","14/03/2025","Elwak","188.08","178.57","162.89"
"15/02/2025","14/03/2025","Wajir","186.53","177.01","161.33"
"15/02/2025","14/03/2025","Modogashe","184.09","174.58","158.91"
"15/02/2025","14/03/2025","Mandera","190.58","181.07","165.39"
"15/02/2025","14/03/2025","Matuu","177.54","168.02","152.35"
"15/02/2025","14/03/2025","Merti","182.32","172.8","157.12"
"15/02/2025","14/03/2025","Oldonyiro","179.1","169.59","153.92"
"15/02/2025","14/03/2025","Eldas","188.43","178.92","163.24"
"15/02/2025","14/03/2025","Bute","185.24","175.74","160.06"
"15/02/2025","14/03/2025","Hadado","183.73","174.22","158.55"
"15/02/2025","14/03/2025","Mai Mahiu","176.7","167.19","151.52"
"15/02/2025","14/03/2025","Doldo","179.46","169.96","154.28"
"15/02/2025","14/03/2025","Lamuria","178.52","169.01","153.34"
"15/02/2025","14/03/2025","Sipili","179.45","169.94","154.27"
"15/02/2025","14/03/2025","Marimanti","179.05","169.54","153.86"
"15/02/2025","14/03/2025","Mutuobare","178.34","168.83","153.15"
"15/01/2025","14/02/2025","Moiben","176.64","167.47","151.84"
"15/01/2025","14/02/2025","Matunda","176.61","167.44","151.81"
"15/01/2025","14/02/2025","Burnt Forest","176.57","167.4","151.77"
"15/01/2025","14/02/2025","Tambach","176.67","167.49","151.87"
"15/01/2025","14/02/2025","Kapsowar","177.17","167.99","152.37"
"15/01/2025","14/02/2025","Chebara","177.04","167.87","152.24"
"15/01/2025","14/02/2025","Kimwarer","176.96","167.79","152.16"
"15/01/2025","14/02/2025","Timboroa","176.88","167.7","152.08"
"15/01/2025","14/02/2025","Nandi Hills","176.83","167.66","152.03"
"15/01/2025","14/02/2025","Kaiboi","176.68","167.51","151.88"
"15/01/2025","14/02/2025","Kiminini","177.21","168.04","152.41"
"15/01/2025","14/02/2025","Endebes","177.58","168.41","152.78"
"15/01/2025","14/02/2025","Saboti","177.24","168.06","152.44"
"15/01/2025","14/02/2025","Chepareria","177.92","168.74","153.12"
"15/01/2025","14/02/2025","Lomut","179.65","170.48","154.86"
"15/01/2025","14/02/2025","Burgich","178.36","169.18","153.56"
"15/01/2025","14/02/2025","Sigor","178.5","169.32","153.7"
"15/01/2025","14/02/2025","Lodwar","181.11","171.94","156.31"
"15/01/2025","14/02/2025","Kakuma","182.82","173.65","158.03"
"15/01/2025","14/02/2025","Lokichar","180.04","170.87","155.24"
"15/01/2025","14/02/2025","Kalokol","181.93","172.76","157.13"
"15/01/2025","14/02/2025","Lokori","180.43","171.26","155.64"
"15/01/2025","14/02/2025","Lokitaung","185.03","175.85","160.23"
"15/01/2025","14/02/2025","Kapedo","179.65","170.48","154.86"
"15/01/2025","14/02/2025","Malaba","177.87","168.71","153.07"
"15/01/2025","14/02/2025","Lokichogio","184.1","174.93","159.3"
"15/01/2025","14/02/2025","Ziwa","176.83","167.66","152.03"
"15/01/2025","14/02/2025","Soy","176.62","167.45","151.82"
"15/01/2025","14/02/2025","Moi's Bridge","176.69","167.52","151.89"
"15/01/2025","14/02/2025","Turbo","176.57","167.4","151.77"
"15/01/2025","14/02/2025","Kibish","185.28","176.11","160.49"
"15/01/2025","14/02/2025","Nakalale","184.01","174.84","159.22"
"15/01/2025","14/02/2025","Loima","180.17","170.99","155.37"
"15/01/2025","14/02/2025","Lokiriama","181.85","172.68","157.05"
"15/01/2025","14/02/2025","Kainuk","178.85","169.67","154.05"
"15/01/2025","14/02/2025","Kacheliba","178.13","168.95","153.33"
"15/01/2025","14/02/2025","Kiwawa","178.78","169.6","153.98"
"15/01/2025","14/02/2025","Ortum","178.34","169.16","153.54"
"15/01/2025","14/02/2025","Kachibora","177.04","167.87","152.24"
"15/01/2025","14/02/2025","Kwanza","177.81","168.64","153"
"15/01/2025","14/02/2025","Kaplamai","177.07","167.9","152.27"
"15/01/2025","14/02/2025","Eldama Ravine","177.51","168.34","152.71"
"15/01/2025","14/02/2025","Tenges","177.67","168.5","152.87"
"15/01/2025","14/02/2025","Barwessa","177.79","168.62","152.99"
"15/01/2025","14/02/2025","Kipsaraman","178.77","169.59","153.97"
"15/01/2025","14/02/2025","Loruk","178.63","169.45","153.83"
"15/01/2025","14/02/2025","Kabartonjo","177.51","168.34","152.71"
"15/01/2025","14/02/2025","Tindiret","177.58","168.41","152.78"
"15/01/2025","14/02/2025","O'lessos","176.69","167.52","151.89"
"15/01/2025","14/02/2025","Kobujoi","177.12","167.95","152.33"
"15/01/2025","14/02/2025","Serem","177.21","168.04","152.41"
"15/01/2025","14/02/2025","Kabiyet","176.62","167.45","151.82"
"15/01/2025","14/02/2025","Cheptulu","177.09","167.91","152.28"
"15/01/2025","14/02/2025","Songor","177.67","168.5","152.87"
"15/01/2025","14/02/2025","Kapcherop","177.28","168.1","152.48"
"15/01/2025","14/02/2025","Sambalat","178.01","168.85","153.21"
"15/01/2025","14/02/2025","Arror","177.64","168.46","152.84"
"15/01/2025","14/02/2025","Tot","177.86","168.69","153.06"
"15/01/2025","14/02/2025","Kaptarakwa","176.83","167.66","152.03"
"15/01/2025","14/02/2025","Kapese","180","170.83","155.2"
"15/01/2025","14/02/2025","Kalemngorok","179.35","170.17","154.55"
"15/01/2025","14/02/2025","Marich","178.25","169.08","153.46"
"15/01/2025","14/02/2025","Alale","178.78","169.6","153.98"
"15/01/2025","14/02/2025","Kunyao","178.42","169.24","153.62"
"15/01/2025","14/02/2025","Asilong","177.98","168.8","153.18"
"15/01/2025","14/02/2025","Orolwo","178.01","168.85","153.21"
"15/01/2025","14/02/2025","Sebit","177.96","168.79","153.16"
"15/01/2025","14/02/2025","Morpus","177.86","168.69","153.06"
"15/01/2025","14/02/2025","Chepkorniswo","177.74","168.57","152.93"
"15/01/2025","14/02/2025","Kaibichbich","177.68","168.51","152.89"
"15/01/2025","14/02/2025","Keringet","177.39","168.22","152.59"
"15/01/2025","14/02/2025","Kisumu","176.62","167.44","151.82"
"15/01/2025","14/02/2025","Sondu","176.73","167.56","151.93"
"15/01/2025","14/02/2025","Oyugis","177.25","168.07","152.45"
"15/01/2025","14/02/2025","Kakamega","176.67","167.5","151.88"
"15/01/2025","14/02/2025","Mumias","176.97","167.79","152.17"
"15/01/2025","14/02/2025","Bondo","176.84","167.68","152.04"
"15/01/2025","14/02/2025","Siaya","176.98","167.8","152.18"
"15/01/2025","14/02/2025","Kericho","177.17","167.99","152.37"
"15/01/2025","14/02/2025","Nyamira","177.24","168.06","152.44"
"15/01/2025","14/02/2025","Kisii","177.56","168.39","152.77"
"15/01/2025","14/02/2025","Sotik","177.39","168.21","152.59"
"15/01/2025","14/02/2025","Keroka","177.58","168.41","152.78"
"15/01/2025","14/02/2025","Busia","177.55","168.38","152.75"
"15/01/2025","14/02/2025","Homabay","177.49","168.32","152.7"
"15/01/2025","14/02/2025","Migori","178.41","169.24","153.62"
"15/01/2025","14/02/2025","Isebania","178.72","169.54","153.92"
"15/01/2025","14/02/2025","Bomet","177.82","168.64","153.02"
"15/01/2025","14/02/2025","Muhoroni","176.87","167.69","152.06"
"15/01/2025","14/02/2025","Mbita","177.48","168.31","152.68"
"15/01/2025","14/02/2025","Mbale","176.62","167.44","151.82"
"15/01/2025","14/02/2025","Etago","178.18","169","153.38"
"15/01/2025","14/02/2025","Magenche","178.29","169.11","153.49"
"15/01/2025","14/02/2025","Kilgoris","178.11","168.94","153.31"
"15/01/2025","14/02/2025","Malava","177.01","167.84","152.21"
"15/01/2025","14/02/2025","Lugari","177.42","168.26","152.63"
"15/01/2025","14/02/2025","Rodi Kopany","177.56","168.39","152.77"
"15/01/2025","14/02/2025","Ndhiwa","177.86","168.68","153.06"
"15/01/2025","14/02/2025","Rangwe","177.55","168.38","152.75"
"15/01/2025","14/02/2025","Sindo","177.56","168.39","152.77"
"15/01/2025","14/02/2025","Awasi","176.58","167.41","151.79"
"15/01/2025","14/02/2025","Ahero","176.62","167.44","151.82"
"15/01/2025","14/02/2025","Ugunja","177.07","167.91","152.28"
"15/01/2025","14/02/2025","Asembo","176.7","167.54","151.9"
"15/01/2025","14/02/2025","Usenge","177.21","168.05","152.42"
"15/01/2025","14/02/2025","Harambee","176.67","167.49","151.87"
"15/01/2025","14/02/2025","Muhuru Bay","178.57","169.39","153.77"
"15/01/2025","14/02/2025","Kehancha","178.81","169.65","154.01"
"15/01/2025","14/02/2025","Ntimaru","179.15","169.97","154.35"
"15/01/2025","14/02/2025","Rongo","177.83","168.66","153.03"
"15/01/2025","14/02/2025","Kaspokwony","177.79","168.62","152.99"
"15/01/2025","14/02/2025","Chwele","177.73","168.56","152.93"
"15/01/2025","14/02/2025","Kimilili","177.65","168.48","152.85"
"15/01/2025","14/02/2025","Nambale","177.55","168.38","152.75"
"15/01/2025","14/02/2025","SioPort","177.54","168.36","152.74"
"15/01/2025","14/02/2025","Port Bunyala","177.6","168.42","152.8"
"15/01/2025","14/02/2025","Funyula","177.4","168.22","152.6"
"15/01/2025","14/02/2025","Ogembo","177.73","168.56","152.93"
"15/01/2025","14/02/2025","Nyangusu","178.01","168.84","153.21"
"15/01/2025","14/02/2025","Sengera","177.93","168.75","153.13"
"15/01/2025","14/02/2025","Keumbu","177.63","168.46","152.84"
"15/01/2025","14/02/2025","Marani","177.32","168.14","152.52"
"15/01/2025","14/02/2025","Kerina","177.7","168.53","152.91"
"15/01/2025","14/02/2025","Ikonge","177.01","167.84","152.21"
"15/01/2025","14/02/2025","Nyansiongo","177.44","168.27","152.64"
"15/01/2025","14/02/2025","Mombasa","173.34","163.82","148.15"
"15/01/2025","14/02/2025","Kilifi","174.1","164.59","148.92"
"15/01/2025","14/02/2025","Likoni Mainland","173.72","164.21","148.54"
"15/01/2025","14/02/2025","Kwale","173.72","164.21","148.54"
"15/01/2025","14/02/2025","Malindi","174.32","164.81","149.14"
"15/01/2025","14/02/2025","Lungalunga","174.49","164.97","149.3"
"15/01/2025","14/02/2025","Voi","174.92","165.41","149.73"
