"From (Date)","To (Date)","Town","Super (PMS)","Diesel (AGO)","Kerosene (IK)"
"15/04/2025","14/05/2025","Rumuruti","174.71","165.28","149.46"
"15/04/2025","14/05/2025","Eldoret","174.67","165.25","149.42"
"15/04/2025","14/05/2025","Kiplombe","174.67","165.25","149.42"
"15/04/2025","14/05/2025","Iten","174.67","165.25","149.42"
"15/04/2025","14/05/2025","Naiberi","174.67","165.25","149.42"
"15/04/2025","14/05/2025","Kesses","174.67","165.25","149.42"
"15/04/2025","14/05/2025","Kapsabet","174.69","165.27","149.44"
"15/04/2025","14/05/2025","Webuye","175.14","165.71","149.88"
"15/04/2025","14/05/2025","Kitale","175.07","165.64","149.82"
"15/04/2025","14/05/2025","Kapenguria","175.75","166.32","150.5"
"15/04/2025","14/05/2025","Bungoma","175.5","166.07","150.24"
"15/04/2025","14/05/2025","Moiben","174.69","165.27","149.44"
"15/04/2025","14/05/2025","Matunda","174.66","165.24","149.41"
"15/04/2025","14/05/2025","Burnt Forest","174.62","165.2","149.37"
"15/04/2025","14/05/2025","Tambach","174.72","165.29","149.47"
"15/04/2025","14/05/2025","Kapsowar","175.22","165.79","149.97"
"15/04/2025","14/05/2025","Chebara","175.09","165.67","149.84"
"15/04/2025","14/05/2025","Kimwarer","175.01","165.59","149.76"
"15/04/2025","14/05/2025","Timboroa","174.93","165.5","149.68"
"15/04/2025","14/05/2025","Nandi Hills","174.88","165.46","149.63"
"15/04/2025","14/05/2025","Kaiboi","174.73","165.31","149.48"
"15/04/2025","14/05/2025","Kiminini","175.26","165.84","150.01"
"15/04/2025","14/05/2025","Endebes","175.63","166.21","150.38"
"15/04/2025","14/05/2025","Saboti","175.29","165.86","150.04"
"15/04/2025","14/05/2025","Chepareria","175.97","166.54","150.72"
"15/04/2025","14/05/2025","Lomut","177.7","168.28","152.46"
"15/04/2025","14/05/2025","Burgich","176.41","166.98","151.16"
"15/04/2025","14/05/2025","Sigor","176.55","167.12","151.3"
"15/04/2025","14/05/2025","Lodwar","179.16","169.74","153.91"
"15/04/2025","14/05/2025","Kakuma","180.87","171.45","155.63"
"15/04/2025","14/05/2025","Lokichar","178.09","168.67","152.84"
"15/04/2025","14/05/2025","Kalokol","179.98","170.56","154.73"
"15/04/2025","14/05/2025","Lokori","178.48","169.06","153.24"
"15/04/2025","14/05/2025","Lokitaung","183.08","173.65","157.83"
"15/04/2025","14/05/2025","Kapedo","177.7","168.28","152.46"
"15/04/2025","14/05/2025","Malaba","175.92","166.51","150.67"
"15/04/2025","14/05/2025","Lokichogio","182.15","172.73","156.9"
"15/04/2025","14/05/2025","Ziwa","174.88","165.46","149.63"
"15/04/2025","14/05/2025","Soy","174.67","165.25","149.42"
"15/04/2025","14/05/2025","Moi's Bridge","174.74","165.32","149.49"
"15/04/2025","14/05/2025","Turbo","174.62","165.2","149.37"
"15/04/2025","14/05/2025","Kibish","183.33","173.91","158.09"
"15/04/2025","14/05/2025","Nakalale","182.06","172.64","156.82"
"15/04/2025","14/05/2025","Loima","178.22","168.79","152.97"
"15/04/2025","14/05/2025","Lokiriama","179.9","170.48","154.65"
"15/04/2025","14/05/2025","Kainuk","176.9","167.47","151.65"
"15/04/2025","14/05/2025","Kacheliba","176.18","166.75","150.93"
"15/04/2025","14/05/2025","Kiwawa","176.83","167.4","151.58"
"15/04/2025","14/05/2025","Ortum","176.39","166.96","151.14"
